name,networth,education,country
Heather_Mills,24300000,Washington Tyne and Wear,NA
Heather_Mills,24300000,Chestnut Grove Academy,NA
Heinz_Bauer_(publisher),1900000000,University of Hamburg,Germany
Helen_Walton,16400000000,University of Oklahoma,USA
Henadiy_Boholyubov,1800000000,Prydniprovska State Academy of Civil Engineering and Architecture,Ukraine
Hennadiy_Korban,153000000,National Mining University of Ukraine,Ukraine
Henry_Hillman,2500000000,Taft School,NA
Henry_Hillman,2500000000,Shady Side Academy,NA
Henry_Kravis,4800000000,Columbia Business School,USA
Henry_Kravis,4800000000,Claremont McKenna College,USA
Henry_Nicholas,1700000000,University of California Los Angeles,USA
Henry_Nicholas,1700000000,Electrical engineering,NA
Henry_Samueli,2400000000,University of California Los Angeles,USA
Henry_Silverman,300000000,Williams College,USA
Henry_Silverman,300000000,University of Pennsylvania Law School,USA
Henry_Swieca,1300000000,Columbia Business School,USA
Henry_Swieca,1300000000,Stony Brook University,USA
Henry_Sy,15700000000,Far Eastern University,Philippines
"Herbert_Allen,_Jr.",1500000000,Williams College,USA
"Herbert_Kohler,_Jr.",7400000000,Choate Rosemary Hall,NA
Herbert_Simon_(real_estate),2900000000,City College of New York,USA
Hamilton_E._James,1840000000,Choate Rosemary Hall,NA
Vagit_Alekperov,11400000000,Azerbaijan State University of Oil and Industry,Azerbaijan
Vardis_Vardinogiannis,711200000,Hellenic Naval Academy,Greece
Viatcheslav_Moshe_Kantor,2300000000,Moscow Aviation Institute,Russia
Victor_Fung,2900000000,Massachusetts Institute of Technology,USA
Victor_Fung,2900000000,Harvard Business School,USA
Victor_Muller,7500000,Leiden University,Netherlands
Vikram_Lal,3900000000,The Doon School,NA
Vince_Gilligan,15000000,Tisch School of the Arts,USA
Vincent_Astor,1500000000,Harvard University,USA
Vincent_Bolloré,7300000000,Lycée Janson de Sailly,NA
Vincent_Tchenguiz,850000000,Boston University,USA
Vincent_Tchenguiz,850000000,New York University,USA
Vincent_Tchenguiz,850000000,McGill University,Canada
Vincent_Viola,2200000000,United States Military Academy,USA
Vincent_Viola,2200000000,New York Law School,USA
Vinod_Khosla,1500000000,Carnegie Mellon University,USA
Vinod_Khosla,1500000000,Stanford Graduate School of Business,USA
Vinod_Khosla,1500000000,Indian Institute of Technology Delhi,India
Vladimir_Aleksandrovich_Antonov,300000000,Plekhanov Russian University of Economics,Russia
Vladimir_Lisin,9100000000,Siberian State Industrial University,Russia
Vladimir_Lisin,9100000000,Russian Presidential Academy of National Economy and Public Administration,Russia
Vladimir_Makhlai,1000000000,Perm_Polytechnic_Institute,Russia
Vladimir_Potanin,12.7,Moscow State Institute of International Relations,Russia
Patrick_Bitature,100000000,Institute of Chartered Secretaries and Administrators,NA
Patrick_Bitature,100000000,Namasagali College,NA
Patrick_Bitature,100000000,Nyakasura School,NA
Patrick_Drahi,7900000000,École Polytechnique,France
Patrick_Soon-Shiong,11800000000,University of California Los Angeles,USA
Patrick_Soon-Shiong,11800000000,University of British Columbia,Canada
Patrick_Soon-Shiong,11800000000,University of the Witwatersrand,South Africa
Paul_Allen,17600000000,Lakeside School (Seattle),NA
Paul_Allen,17600000000,Washington State University,USA
Paul_Desmarais,4500000000,University of Ottawa,Canada
Paul_L._Foster,1500000000,Baylor University,USA
Paul_Singer_(businessman),2100000000,University of Rochester,USA
Paul_Singer_(businessman),2100000000,Juris Doctor,NA
Paul_Singer_(businessman),2100000000,Bachelor of Science,NA
Paul_Singer_(businessman),2100000000,Harvard Law School,USA
Paul_Tudor_Jones,4700000000,University of Virginia,USA
Paul_Walker,25000000,Village Christian Schools,NA
Pavel_Durov,260000000,Saint Petersburg State University,Russia
Pavel_Tykač,1030000000,Czech Technical University in Prague,Czech Republic
Peter_B._Lewis,1250000000,Princeton University,USA
Peter_Buck_(restaurateur),2600000000,Columbia University,USA
Peter_Buck_(restaurateur),2600000000,Bowdoin College,USA
Peter_Buck_(restaurateur),2600000000,Doctor of Humane Letters,NA
Peter_Hargreaves,2390000000,Clitheroe Royal Grammar School,NA
Peter_Livanos,7000000000,Columbia University,USA
Peter_Lynch,352000000,Boston College,USA
Peter_Lynch,352000000,Wharton School of the University of Pennsylvania,USA
Petr_Kellner,10800000000,University of Economics Prague,Czech Republic
Phaedra_Parks,2000000,Clarke Central High School,NA
Phaedra_Parks,2000000,Wesleyan College,USA
Phaedra_Parks,2000000,Juris Doctor,NA
Phaedra_Parks,2000000,Bachelor of Arts,NA
Phaedra_Parks,2000000,University of Georgia School of Law,USA
P._N._C._Menon,1230000000,Sree Kerala Varma College,India
Pankaj_Patel,4100000000,Gujarat University,India
Pansy_Ho,6400000000,Santa Clara University,USA
Pat_Ryan_(executive),2500000000,Northwestern University,USA
Patrice_Motsepe,2900000000,University of the Witwatersrand,South Africa
Patrice_Motsepe,2900000000,University of Swaziland,Swaziland
Patricia_Matte,2800000000,Pontifical Catholic University of Chile,Chile
Phil_Knight,28100000000,Stanford University,USA
Phil_Knight,28100000000,University of Oregon,USA
Philip_Anschutz,10100000000,University of Kansas,USA
Phillip_Ean_Cohen,500,University of Melbourne,Australia
Phillip_Ean_Cohen,500,Harvard Business School,USA
Phillip_Frost,4900000000,Physician,NA
Phillip_Frost,4900000000,Bachelor of Arts,NA
Poju_Zabludowicz,1500000000,Tel Aviv University,Israel
Prem_Watsa,1000000000,University of Western Ontario,Canada
Prem_Watsa,1000000000,Indian Institute of Technology Madras,India
Pyotr_Aven,6400000000,Moscow State University,Russia
Zhang_Jindong,5500000000,Nanjing Normal University,China
Zhang_Xin_(businesswoman),3600000000,University of Sussex,UK
Zhang_Xin_(businesswoman),3600000000,University of Cambridge,UK
Zhang_Zhixiang,2800000000,Zhejiang University,China
Zhou_Chengjian,1900000000,Zhejiang University,China
Zhou_Hongyi,1400000000,Xi'an Jiaotong University,China
Ziyavudin_Magomedov,3000000000,Moscow State University,Russia
A._Alfred_Taubman,3100000000,Lawrence Technological University,USA
A._Alfred_Taubman,3100000000,Taubman College of Architecture and Urban Planning,USA
"Amos_Hostetter,_Jr.",3200000000,Amherst College,USA
"Amos_Hostetter,_Jr.",3200000000,Harvard University,USA
"Amos_Hostetter,_Jr.",3200000000,Economics,NA
Ana_Patricia_Botín,135000000,Bryn Mawr College,USA
Ana_Patricia_Botín,135000000,Harvard Business School,USA
Anand_Mahindra,1200000000,Lawrence School Lovedale,NA
Anand_Mahindra,1200000000,Harvard University,USA
Anand_Mahindra,1200000000,Harvard Business School,USA
Andrew_Beal,7600000000,Michigan State University,USA
Andrew_Beal,7600000000,Baylor University,USA
Andrew_Black_(gambling_entrepreneur),125000000,King's College School,NA
Andrew_Black_(gambling_entrepreneur),125000000,University of Exeter,UK
Andrew_Cherng,3200000000,Baker University,USA
Andrew_Cherng,3200000000,University of Missouri,USA
Andrew_Gower,138000000,University of Cambridge,UK
Andrew_Mason,200000000,Northwestern University,USA
Andrew_Mason,200000000,Bienen School of Music,USA
Andrew_Tilles,360653000,University of Arkansas,USA
Andrey_Melnichenko,8000000000,Plekhanov Russian University of Economics,Russia
André_Esteves,2200000000,Federal University of Rio de Janeiro,Brazil
Andrónico_Luksic_Craig,14600000,Babson College,USA
Angela_Ahrendts,150000000,Ball State University,USA
Anil_Ambani,4300000000,Wharton School of the University of Pennsylvania,USA
Anil_Ambani,4300000000,University of Mumbai,India
Anil_Kumar,50,Imperial College London,UK
Anil_Kumar,50,Indian Institute of Technology Bombay,India
Anil_Kumar,50,Wharton School of the University of Pennsylvania,USA
Anil_Kumar,50,The Doon School,NA
Anita_Zucker,2100000000,University of Florida,USA
Anita_Zucker,2100000000,University of North Florida,USA
Ann_Gloag,1040000000,Perth High School,NA
Ann_Walton_Kroenke,4600000000,Lincoln University (Missouri),USA
Anne_Hendricks_Bass,690000000,Park Tudor School,NA
Anthony_Bamford,3100000000,Ampleforth College,UK
Anthony_Pritzker,3400000000,Dartmouth College,USA
Anthony_Pritzker,3400000000,University of Chicago,USA
Anton_Rupert,2300000000,University of Pretoria,South Africa
Aldo_Bensadoun,1700000000,McGill University,Canada
Alec_Gores,2100000000,Western Michigan University,USA
Alejandro_Santo_Domingo,4600000000,Hotchkiss School,NA
Alejandro_Santo_Domingo,4600000000,Harvard University,USA
Alessandro_Gadotti,75000000,Sapienza University of Rome,Italy
Alexander_Knaster,2200000000,Carnegie Mellon University,USA
Alexander_Knaster,2200000000,Harvard Business School,USA
Alexander_Mamut,2400000000,Moscow State University,Russia
Alexander_Nesis,2400000000,Saint Petersburg State Institute of Technology,Russia
Alexander_Putilov,1100000000,Bachelor of Arts,NA
Alexander_Putilov,1100000000,Tyumen_Industrial_Institute,Russia
Alexander_Rovt,1200000000,Lviv Academy of Commerce,Ukraine
Alexander_Spanos,1690000000,University of the Pacific (United States),USA
Alexei_Mordashov,13200000000,Northumbria University,UK
Alfred_E._Mann,1500000000,University of California Los Angeles,USA
Alfred_I._du_Pont,56000000,Phillips Academy,NA
Ali_Mufuruki,110000000,Reutlingen University,Germany
Alice_Walton,32500000000,Trinity University (Texas),USA
Aliko_Dangote,18000000000,Al-Azhar University,Egypt
Alisher_Usmanov,12900000000,Moscow State Institute of International Relations,Russia
Alistair_MacLean,73347,Hillhead High School,NA
Alistair_MacLean,73347,Inverness Royal Academy,NA
Alistair_MacLean,73347,Daviot_School,NA
Alistair_MacLean,73347,University of Glasgow,UK
Allan_Gray_(investor),10500000000,Rhodes University,South Africa
Allan_Gray_(investor),10500000000,Harvard Business School,USA
Allen_Stanford,0,Eastern Hills High School,NA
Allen_Stanford,0,Baylor University,USA
Allen_Stanford,0,Finance,NA
Allen_Stanford,0,Bachelor of Arts,NA
Aloke_Lohia,1300000000,Bachelor of Commerce,NA
Aloke_Lohia,1300000000,University of Delhi,India
Aloysio_de_Andrade_Faria,2200000000,Northwestern University,USA
Aloysio_de_Andrade_Faria,2200000000,Federal University of Minas Gerais,Brazil
Amar_Bose,1000000000,Massachusetts Institute of Technology,USA
Amar_Bose,1000000000,Doctor of Philosophy,NA
Antônio_Ermírio_de_Moraes,3100000000,Colorado School of Mines,USA
Archie_Aldis_Emmerson,3900000000,Redding California,USA
Arif_Naqvi,500000000,London School of Economics,UK
Arif_Naqvi,500000000,Karachi Grammar School,NA
Arkady_Rotenberg,1260000000,D. Mendeleev University of Chemical Technology of Russia,RUssia
Arnaud_Lagardère,2400000000,Paris Dauphine University,France
Arte_Moreno,1810000000,University of Arizona,USA
Arthur_Blank,2600000000,Babson College,USA
Arthur_Wagner,49907,Bachelor of Arts,NA
Arthur_Wagner,49907,Trinity College Cambridge,UK
Arthur_Wagner,49907,Eton College,NA
Austen_S._Cargill_II,3300000000,Oregon State University,USA
Austen_S._Cargill_II,3300000000,University of Minnesota,USA
Aydın_Doğan,1000000000,Marmara University,Turkey
Ayman_Asfari,1200000000,University of Pennsylvania,USA
Ayman_Asfari,1200000000,Villanova University,USA
Ayman_Hariri,1040000000,Georgetown University,USA
Azim_Premji,16500000000,Stanford University,USA
Abigail_Johnson,13700000000,Hobart and William Smith Colleges,USA
Abigail_Johnson,13700000000,Harvard Business School,USA
Abílio_Diniz,4400000000,Columbia University,USA
Abílio_Diniz,4400000000,University of Dayton,USA
Abílio_Diniz,4400000000,Fundação Getúlio Vargas,Brazil
Adam_D'Angelo,600000000,California Institute of Technology,USA
Adam_D'Angelo,600000000,Phillips Exeter Academy,NA
Adam_Fleming_(businessman),1500000000,Eton College,NA
Adi_Godrej,4000000000,MIT Sloan School of Management,USA
Adolphus_W._Green,2400000,Boston Latin School,NA
Adrian_Swire,2400000000,Eton College,NA
Adrian_Swire,2400000000,Wellesley House School,NA
Ajay_Kalsi,1200000000,London School of Economics,UK
Ajay_Kalsi,1200000000,University of Cambridge,UK
Ajay_Piramal,1600000000,University of Mumbai,India
Al-Waleed_bin_Talal,24000000000,Syracuse University,USA
Al-Waleed_bin_Talal,24000000000,Menlo College,USA
Al_Pacino,135000000,HB Studio,NA
Alan_Casden,1200000000,University of Southern California,USA
Alan_Howard_(hedge_fund_manager),1500000000,Imperial College London,UK
Alan_Leventhal,1000000000,Dartmouth College,USA
Alan_Leventhal,1000000000,Northwestern University,USA
Alan_Trefler,1000000000,Dartmouth College,USA
Alastair_Salvesen,1000000000,Fettes College,NA
Gautam_Singhania,1400000000,Cathedral and John Connon School,NA
Gayle_Cook,5800000000,Indiana University Bloomington,USA
Geoffrey_Edelsten,63000000,Mount Scopus Memorial College,NA
Geoffrey_Edelsten,63000000,Princes Hill Secondary College,NA
Geoffrey_Edelsten,63000000,University of Melbourne,Australia
George_Joseph_(West_Virginia),1150000000,Harvard University,USA
George_Kaiser,7100000000,Harvard College,USA
George_Kaiser,7100000000,Harvard Business School,USA
George_Lindemann,4000000000,Wharton School of the University of Pennsylvania,USA
George_P._Mitchell,2000000000,Texas A&M University,USA
George_R._Roberts,5100000000,University of California Hastings College of the Law,USA
George_R._Roberts,5100000000,Claremont McKenna College,USA
George_Soros,24500000000,London School of Economics,UK
Gerald_J._Ford,2100000000,Southern Methodist University,USA
Geraldine_Hughes,500000,University of California Los Angeles,USA
Gert_Verhulst,112000000,Autodidacticism,NA
Gianfelice_Rocca,4700000000,University of Milan,Italy
Gianfelice_Rocca,4700000000,Harvard Business School,USA
Gigi_Pritzker,1900000000,Stanford University,USA
Gina_Rinehart,9800000000,St Hilda's Anglican School for Girls,NA
Gina_Rinehart,9800000000,University of Sydney,Australia
Gabe_Newell,2200000000,Harvard University,USA
Galen_Weston,9800000000,University of Western Ontario,Canada
Glenn_Beck,90000000,Sehome High School,NA
Glenn_Dubin,2000000000,Stony Brook University,USA
Gordon_McLendon,250000000,Yale University,USA
Gordon_McLendon,250000000,Harvard Law School,USA
Graeme_Hart,8100000000,Mount Roskill Grammar School,NA
Graeme_Hart,8100000000,New Zealand,NA
Graeme_Hart,8100000000,Auckland,NA
Graeme_Hart,8100000000,University of Otago,New Zealand
Graeme_Hart,8100000000,Master of Business Administration,NA
Graham_Tuckwell,460000000,Australian National University,Australia
Greg_Coffey,743000000,Macquarie University,Australia
Guo_Guangchang,7300000000,Fudan University,China
Gustavo_Cisneros,4000000000,Babson College,USA
Gustavo_Cisneros,4000000000,Suffield Academy,NA
Gwen_Stefani,80000000,California State University Fullerton,USA
Gérard_Louis-Dreyfus,3400000000,Duke University,USA
Gérard_Louis-Dreyfus,3400000000,Juris Doctor,NA
Naguib_Sawiris,3100000000,ETH Zurich,Switzerland
Nancy_Walton_Laurie,4100000000,University of Memphis,USA
Nassef_Sawiris,5900000000,Deutsche Schule der Borromäerinnen Kairo,NA
Nathan_Blecharczyk,1900000000,Harvard University,USA
Nathan_Kirsh,3700000000,Potchefstroom High School for Boys,NA
Nathan_Kirsh,3700000000,University of the Witwatersrand,South Africa
Naveen_Selvadurai,80000000,King's College London,UK
Naveen_Selvadurai,80000000,Worcester Polytechnic Institute,USA
Neil_Bluhm,3000000000,Northwestern University,USA
Neil_Bluhm,3000000000,University of Illinois at Urbana–Champaign,USA
Neil_Kadisha,1760000000,University of Manchester,UK
Nelson_Peltz,1350000000,Wharton School of the University of Pennsylvania,USA
Nichola_Pease,1100000000,University of Exeter,UK
Nicholas_Schorsch,1600000000,Drexel University,USA
Nick_Leslau,200000000,Mill Hill School,NA
Nick_Woodman,770000000,University of California San Diego,USA
Nicolas_Berggruen,2000000000,New York University,USA
Nigella_Lawson,15,Middle Ages,NA
Nigella_Lawson,15,Modern language,NA
Nigella_Lawson,15,Master of Arts (Oxbridge and Dublin),NA
Nigella_Lawson,15,University of Oxford,UK
Nigella_Lawson,15,Lady Margaret Hall Oxford,UK
Nihat_Özdemir,1100000000,Gazi University,Turkey
Nikos_Pateras,1100000000,City University London,UK
N._Murray_Edwards,2200000000,University of Saskatchewan,Canada
N._Murray_Edwards,2200000000,University of Toronto,Canada
N._R._Narayana_Murthy,1800000000,Indian Institute of Technology Kanpur,India
N._R._Narayana_Murthy,1800000000,University of Mysore,India
Nadhmi_Auchi,1500000000,Baghdad College,NA
Nadhmi_Auchi,1500000000,Al-Mustansiriya University,Iraq
Sara_Blakely,1000000000,Florida State University,USA
Sean_Healey,100000000,Harvard College,USA
Sean_Healey,100000000,Harvard Law School,USA
Sean_Parker,2500000000,Oakton High School,NA
Sean_Parker,2500000000,Chantilly High School,NA
Semahat_Sevim_Arsel,2400000000,Robert College,Turkey
Serge_Pun,500000000,Basic Education High School No. 6 Botataung,NA
Sergei_Viktorovich_Popov,4600000000,Ural State Technical University,Russia
Sergey_Brin,35400000000,Stanford University,USA
Sergey_Brin,35400000000,University of Maryland College Park,USA
Sergey_Brin,35400000000,Doctor of Philosophy,NA
Sergio_Mantegazza,4400000000,Gademann_Business_School,NA
Sergio_Mantegazza,4400000000,Istituto Elvetico Salesiani Don Bosco,NA
Seth_Klarman,1350000000,Cornell University,USA
Seth_Klarman,1350000000,Harvard Business School,USA
Seymour_Schulich,1750000000,McGill University,Canada
Shahid_Khan,6400000000,Mechanical engineering,NA
Shahid_Khan,6400000000,University of Illinois at Urbana–Champaign,USA
Shane_Smith_(journalist),1270000000,Carleton University,Canada
Shane_Smith_(journalist),1270000000,Lisgar Collegiate Institute,NA
Shawn_Fanning,7500000,Northeastern University,USA
Sheila_Johnson,1000000000,Proviso East High School,NA
Sheila_Johnson,1000000000,University of Illinois at Urbana–Champaign,USA
Sheldon_Adelson,25800000000,City College of New York,USA
Shelim_Hussain,80000000,Coleg Glan Hafren,UK
Shelim_Hussain,80000000,List of places in Cardiff,NA
Sheryl_Sandberg,1310000000,Harvard University,USA
Sheryl_Sandberg,1310000000,Master of Business Administration,NA
Shi_Yuzhu,4000000000,Zhejiang University,China
Shi_Yuzhu,4000000000,Shenzhen University,China
Shi_Zhengrong,2900000000,University of New South Wales,UK
Shi_Zhengrong,2900000000,Changchun University of Science and Technology,China
Shin_Dong-bin,1480000000,Columbia University,USA
Shin_Dong-bin,1480000000,Aoyama Gakuin University,Japan
Shiv_Nadar,11900000000,PSG College of Technology,India
Shoichiro_Toyoda,400000000,Tohoku University,Japan
Shoichiro_Toyoda,400000000,Nagoya University,Japan
Sid_Bass,3000000000,Yale University,USA
Sid_Bass,3000000000,Stanford Graduate School of Business,USA
Sidney_Kimmel,1350000000,Temple University,USA
Simon_Cowell,325000000,Dover College,NA
Simon_Keswick,1750000000,Eton College,NA
Simon_Keswick,1750000000,Trinity College Cambridge,UK
Simon_Nixon,945000000,St Richard Gwyn Catholic High School Flint,NA
Simon_Nixon,945000000,University of Nottingham,UK
Soichiro_Fukutake,1400000000,Waseda University,Japan
Sokratis_Kokkalis,1200000000,Humboldt University of Berlin,Germany
Solomon_Lew,1200000000,Mount Scopus Memorial College,NA
Song_Weiping,1220000000,Zhejiang University,China
Sri_Prakash_Lohia,4200000000,Bachelor of Commerce,NA
Sri_Prakash_Lohia,4200000000,University of Delhi,India
Stanley_Druckenmiller,4400000000,Bowdoin College,USA
"Stanley_Fink,_Baron_Fink",180000000,Trinity Hall Cambridge,UK
"Stanley_Fink,_Baron_Fink",180000000,Manchester Grammar School,NA
Stefan_Persson_(magnate),24100000000,Stockholm University,Sweeden
Stefano_Gabbana,1560000000,Istituto Superiore per le Industrie Artistiche,Italy
Stefano_Pessina,13800000000,Polytechnic University of Milan,Italy
Stelios_Haji-Ioannou,1760000000,London School of Economics,UK
Stelios_Haji-Ioannou,1760000000,Cass Business School,UK
Stephanie_McMahon,54000000,Greenwich Country Day School,NA
Stephanie_McMahon,54000000,Boston University,USA
Stephen_A._Jarislowsky,1600000000,Cornell University,USA
Stephen_A._Jarislowsky,1600000000,Harvard Business School,USA
Stephen_A._Schwarzman,9700000000,Yale University,USA
Stephen_A._Schwarzman,9700000000,Harvard Business School,USA
Stephen_Hillenburg,90000000,Savanna High School,NA
Stephen_Hillenburg,90000000,California Institute of the Arts,USA
Stephen_Hillenburg,90000000,Humboldt State University,USA
Stephen_M._Ross,6700000000,University of Michigan,USA
Stephen_M._Ross,6700000000,Wayne State University,USA
Stephen_M._Ross,6700000000,New York University,USA
Stephen_Mandel_(hedge_fund_manager),1800000000,Dartmouth College,USA
Stephen_Mandel_(hedge_fund_manager),1800000000,Harvard University,USA
Stephen_Rubin,1750000000,Canford School,NA
Stephen_Rubin,1750000000,University College London,UK
Steve_Ballmer,24000000000,Stanford Graduate School of Business,USA
Steve_Ballmer,24000000000,Harvard University,USA
Steve_Bisciotti,3300000000,Salisbury University,USA
Steve_Case,1370000000,Williams College,USA
Steve_Chen,300000000,University of Illinois at Urbana–Champaign,USA
Steve_Ells,400000000,University of Colorado Boulder,USA
Steve_Ells,400000000,The Culinary Institute of America,USA
Steve_Feinberg,1250000000,Princeton University,USA
Steve_Kirsch,230000000,Massachusetts Institute of Technology,USA
Steve_Wozniak,100000000,University of California Berkeley,USA
Steve_Wozniak,100000000,De Anza College,USA
Steve_Wynn,2300000000,University of Pennsylvania,USA
Steven_A._Cohen,12000000000,Wharton School of the University of Pennsylvania,USA
Steven_A._Kandarian,13700000,Georgetown University,USA
Steven_A._Kandarian,13700000,Clark University,USA
Steven_A._Kandarian,13700000,Harvard Business School,USA
Steven_F._Udvar-Házy,3700000000,University of California Los Angeles,USA
Steven_M._Rales,3800000000,DePauw University,USA
Steven_M._Rales,3800000000,Juris Doctor,NA
Steven_R._Karp,1000000000,Boston University,USA
Steven_Roth,1000000000,Dartmouth College,USA
Steven_Roth,1000000000,Tuck School of Business,USA
Steven_Spielberg,3600000000,Saratoga High School (California),NA
